ts,avg_bpm,min_bpm,max_bpm
2025-09-13T16:05:14.661000-05:00,70.0,70.0,70.0
2025-09-13T16:10:14.661000-05:00,,,
2025-09-13T16:15:14.661000-05:00,70.0,70.0,70.0
2025-09-13T16:20:14.661000-05:00,,,
2025-09-13T16:25:14.661000-05:00,72.0,72.0,72.0
2025-09-13T16:30:14.661000-05:00,,,
2025-09-13T16:35:14.661000-05:00,73.0,73.0,73.0
2025-09-13T16:40:14.661000-05:00,,,
2025-09-13T16:45:14.661000-05:00,73.0,73.0,73.0
2025-09-13T16:50:14.661000-05:00,,,
2025-09-13T16:55:14.661000-05:00,68.0,68.0,68.0
2025-09-13T17:00:14.661000-05:00,,,
2025-09-13T17:05:14.661000-05:00,65.0,65.0,65.0
2025-09-13T17:10:14.661000-05:00,,,
2025-09-13T17:15:14.661000-05:00,65.0,65.0,65.0
2025-09-13T17:20:14.661000-05:00,,,
2025-09-13T17:25:14.661000-05:00,65.0,65.0,65.0
2025-09-13T17:30:14.661000-05:00,,,
2025-09-13T17:35:14.661000-05:00,66.0,66.0,66.0
2025-09-13T17:40:14.661000-05:00,,,
2025-09-13T17:45:14.661000-05:00,66.0,66.0,66.0
2025-09-13T17:50:14.661000-05:00,,,
2025-09-13T17:55:14.661000-05:00,66.0,66.0,66.0
2025-09-13T18:00:14.661000-05:00,,,
2025-09-13T18:05:14.661000-05:00,74.0,74.0,74.0
2025-09-13T18:10:14.661000-05:00,,,
2025-09-13T18:15:14.661000-05:00,75.0,75.0,75.0
2025-09-13T18:20:14.661000-05:00,,,
2025-09-13T18:25:14.661000-05:00,77.0,77.0,77.0
2025-09-13T18:30:14.661000-05:00,,,
2025-09-13T18:35:14.661000-05:00,79.0,79.0,79.0
2025-09-13T18:40:14.661000-05:00,,,
2025-09-13T18:45:14.661000-05:00,69.0,69.0,69.0
2025-09-13T18:50:14.661000-05:00,,,
2025-09-13T18:55:14.661000-05:00,68.0,68.0,68.0
2025-09-13T19:00:14.661000-05:00,,,
2025-09-13T19:05:14.661000-05:00,68.0,68.0,68.0
2025-09-13T19:10:14.661000-05:00,,,
