date,Light sleep,Deep sleep,REM sleep,Awake (during sleep),Sleep
2025-08-23,292.5,122.5,75.0,97.5,490.0
2025-08-24,0.0,135.0,0.0,0.0,135.0
2025-08-25,267.5,110.0,142.5,87.5,520.0
2025-08-26,322.5,95.0,97.5,120.0,515.0
2025-08-27,260.0,145.0,92.5,90.0,497.5
2025-08-28,275.0,125.0,102.5,77.5,502.5
2025-08-31,252.5,95.0,100.0,115.0,447.5
2025-09-01,182.5,100.0,145.0,100.01666666666668,427.5
2025-09-04,217.5,75.0,57.5,115.0,350.0
2025-09-05,190.0,10.0,75.0,57.5,275.0
2025-09-06,255.0,125.0,105.0,40.0,485.0
2025-09-07,0.0,112.5,0.0,0.0,112.5
2025-09-08,287.5,100.0,75.0,82.5,462.5
2025-09-09,225.0,110.0,85.0,92.5,420.0
2025-09-10,310.0,130.0,70.0,80.0,510.0
2025-09-11,235.0,85.0,117.5,112.5,437.5
2025-09-13,337.5,120.0,72.5,122.5,530.0
