start,end,stage

2025-08-24 03:57:59+00:00,2025-08-24 04:52:59+00:00,Awake (during sleep)

2025-08-24 04:52:59+00:00,2025-08-24 04:57:59+00:00,Light sleep

2025-08-24 04:57:59+00:00,2025-08-24 05:37:59+00:00,Deep sleep

2025-08-24 05:37:59+00:00,2025-08-24 05:42:59+00:00,Light sleep

2025-08-24 05:42:59+00:00,2025-08-24 06:07:59+00:00,Deep sleep

2025-08-24 06:07:59+00:00,2025-08-24 06:12:59+00:00,Light sleep

2025-08-24 06:12:59+00:00,2025-08-24 06:32:59+00:00,Deep sleep

2025-08-24 06:32:59+00:00,2025-08-24 06:37:59+00:00,Awake (during sleep)

2025-08-24 06:37:59+00:00,2025-08-24 06:42:59+00:00,Light sleep

2025-08-24 06:42:59+00:00,2025-08-24 07:00:29+00:00,Deep sleep

2025-08-24 07:00:29+00:00,2025-08-24 07:02:59+00:00,Awake (during sleep)

2025-08-24 07:02:59+00:00,2025-08-24 07:07:59+00:00,Light sleep

2025-08-24 07:07:59+00:00,2025-08-24 07:17:59+00:00,Deep sleep

2025-08-24 07:17:59+00:00,2025-08-24 07:22:59+00:00,Light sleep

2025-08-24 07:22:59+00:00,2025-08-24 07:27:59+00:00,Deep sleep

2025-08-24 07:27:59+00:00,2025-08-24 08:12:59+00:00,Light sleep

2025-08-24 08:12:59+00:00,2025-08-24 08:17:59+00:00,REM sleep

2025-08-24 08:17:59+00:00,2025-08-24 08:42:59+00:00,Light sleep

2025-08-24 08:42:59+00:00,2025-08-24 08:47:59+00:00,Deep sleep

2025-08-24 08:47:59+00:00,2025-08-24 09:42:59+00:00,Light sleep

2025-08-24 09:42:59+00:00,2025-08-24 09:57:59+00:00,REM sleep

2025-08-24 09:57:59+00:00,2025-08-24 10:02:59+00:00,Awake (during sleep)

2025-08-24 10:02:59+00:00,2025-08-24 11:27:59+00:00,Light sleep

2025-08-24 11:27:59+00:00,2025-08-24 11:37:59+00:00,REM sleep

2025-08-24 11:37:59+00:00,2025-08-24 11:52:59+00:00,Light sleep

2025-08-24 11:52:59+00:00,2025-08-24 11:55:29+00:00,Awake (during sleep)

2025-08-24 11:55:29+00:00,2025-08-24 12:02:59+00:00,Light sleep

2025-08-24 12:02:59+00:00,2025-08-24 12:12:59+00:00,REM sleep

2025-08-24 12:12:59+00:00,2025-08-24 12:27:59+00:00,Light sleep

2025-08-24 12:27:59+00:00,2025-08-24 12:32:59+00:00,Awake (during sleep)

2025-08-24 12:32:59+00:00,2025-08-24 12:42:59+00:00,Light sleep

2025-08-24 12:42:59+00:00,2025-08-24 12:47:59+00:00,REM sleep

2025-08-24 12:47:59+00:00,2025-08-24 12:52:59+00:00,Light sleep

2025-08-24 12:52:59+00:00,2025-08-24 13:22:59+00:00,REM sleep

2025-08-24 13:22:59+00:00,2025-08-24 13:45:29+00:00,Awake (during sleep)

2025-08-25 05:13:05+00:00,2025-08-25 06:08:05+00:00,Deep sleep

2025-08-25 06:18:05+00:00,2025-08-25 07:28:05+00:00,Deep sleep

2025-08-25 07:43:05+00:00,2025-08-25 07:48:05+00:00,Deep sleep

2025-08-25 09:13:05+00:00,2025-08-25 09:18:05+00:00,Deep sleep

